Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,hint_message
B5,32,0,0,64,64,127,127,0,0,1,2,1,1,0,0,0,0,4,4,0,0,119,356,1,38,41,1,16,Push button + LED
B6,31,0,0,65,65,127,127,0,0,1,2,1,1,0,0,0,0,5,5,0,0,179,356,1,38,41,1,15,Push button + LED
B7,30,0,0,66,66,127,127,0,0,1,2,1,1,0,0,0,0,6,6,0,0,241,356,1,38,41,1,14,Push button + LED
B8,29,0,0,67,67,127,127,0,0,1,2,1,1,0,0,0,0,7,7,0,0,302,356,1,38,41,1,13,Push button + LED
B9,5,0,0,68,68,127,127,0,0,1,2,1,1,0,0,0,0,8,8,0,0,362,296,1,38,41,1,1,Push button + LED
B10,6,0,0,69,69,127,127,0,0,1,2,1,1,0,0,0,0,9,9,0,0,423,296,1,38,41,1,2,Push button + LED
B11,7,0,0,70,70,127,127,0,0,1,2,1,1,0,0,0,0,10,10,0,0,483,296,1,38,41,1,3,Push button + LED
B12,8,0,0,71,71,127,127,0,0,1,2,1,1,0,0,0,0,11,11,0,0,544,296,1,38,41,1,4,Push button + LED
B13,16,0,0,72,72,127,127,0,0,1,2,1,1,0,0,0,0,12,12,0,0,362,356,1,38,41,1,8,Push button + LED
B14,15,0,0,73,73,127,127,0,0,1,2,1,1,0,0,0,0,13,13,0,0,423,356,1,38,41,1,7,Push button + LED
B15,14,0,0,74,74,127,127,0,0,1,2,1,1,0,0,0,0,14,14,0,0,483,356,1,38,41,1,6,Push button + LED
B16,13,0,0,75,75,127,127,0,0,1,2,1,1,0,0,0,0,15,15,0,0,544,356,1,38,41,1,5,Push button + LED
B17,38,0,0,76,76,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,38,189,1,58,61,1,24,Push button ARCADE
B18,37,0,0,77,77,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,38,446,1,58,61,1,24,Push button ARCADE
B19,39,0,0,78,78,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,104,493,1,58,61,1,18,Push button ARCADE
B20,40,0,0,79,79,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,170,446,1,58,61,1,19,Push button ARCADE
J1,51,2,2,20,20,0,0,3,3,1,2,21,21,0,0,0,0,2,2,0,0,423,421,7,99,103,1,24,Top spinner
J2,33,2,2,52,52,127,127,6,6,1,2,22,22,0,0,0,0,2,2,0,0,46,323,7,46,48,1,10,Side spinner
T1,34,2,2,51,51,20,20,70,70,2,2,23,23,0,0,0,0,64,64,0,0,443,535,8,62,20,1,0,Touch sensor 1
T2,42,2,2,53,53,20,20,70,70,1,1,24,24,0,0,0,0,64,64,0,0,37,289,8,62,20,1,0,Touch sensor 2
gp2d,36,2,2,50,50,127,127,0,0,1,2,18,18,0,0,0,0,0,0,0,0,108,416,8,62,20,1,24,Distace sensor
Pads,49,2,0,9,9,127,127,0,0,1,1,20,20,0,0,0,0,0,0,0,0,22,548,8,62,20,1,24,Pads input - impulse to MIDI
PAGE,35,2,2,10,10,127,127,0,0,1,1,17,17,0,0,0,0,0,0,0,0,189,548,8,62,20,1,24,Page switch - presets
Mouse,41,0,0,0,0,127,127,0,0,1,1,25,25,0,0,0,0,0,0,0,0,607,207,8,62,14,1,24,Mouse emulation - ignored on Arduino UNO boards
general,60,0,0,0,0,1,1,0,0,1,1,26,26,3,3,0,0,2,2,0,0,607,241,8,62,14,1,0,General settings for DART ONE circuit
b21,45,0,0,80,80,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,607,266,2,63,66,1,32,.
b22,46,0,0,81,81,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,607,341,2,63,66,1,32,.
b23,47,0,0,82,82,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,607,416,2,63,66,1,32,.
b24,48,0,0,83,83,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,607,491,2,63,66,1,32,.
50,52,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,470,356,2,24,25,1,32,.
55,53,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,348,403,2,24,25,1,32,.
49,54,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,389,403,2,24,25,1,32,.
53,55,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,429,403,2,24,25,1,32,.
58,50,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,631,356,1,24,25,1,32,.
51,56,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,470,403,2,24,25,1,32,.
62,57,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,512,356,1,24,25,1,32,.
64,58,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,551,356,1,24,25,1,32,.
60,59,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,592,356,1,24,25,1,32,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1024,600,,,
