Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,led_2nd,hint_message,User_byte_3,User_byte_4,User_byte_5,User_byte_6,User_byte_7,User_byte_8,User_byte_9,User_byte_10,User_byte_11,User_byte_12,User_byte_14
11,26,2,2,7,7,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,284,404,1,29,29,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
12,28,2,2,8,8,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,224,404,1,29,29,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
13,5,0,0,14,20,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,119,239,11,59,59,1,1,0,.,0,0,0,0,0,0,0,5,2,0,0
14,8,0,0,15,21,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,239,239,11,59,59,1,4,0,.,0,0,0,0,0,0,0,5,2,0,0
15,7,0,0,16,22,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,359,239,11,59,59,1,3,0,.,0,0,0,0,0,0,0,5,2,0,0
16,6,0,0,17,23,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,479,239,11,59,59,1,2,0,.,0,0,0,0,0,0,0,5,2,0,0
mouse,12,0,0,0,0,45,45,46,46,1,1,25,25,0,0,0,0,0,0,0,0,615,240,8,60,30,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
sensor,48,2,2,70,71,127,127,0,0,1,1,18,18,0,0,0,0,0,0,0,0,210,525,8,60,60,1,0,0,.,0,0,0,0,0,0,0,1,9,0,0
19,9,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,430,209,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
20,10,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,470,209,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
21,13,0,0,18,27,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,539,284,11,59,59,1,5,0,.,0,0,0,0,0,0,0,5,2,0,0
22,14,0,0,19,26,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,419,284,11,59,59,1,6,0,.,0,0,0,0,0,0,0,5,2,0,0
23,15,0,0,20,25,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,299,284,11,59,59,1,7,0,.,0,0,0,0,0,0,0,5,2,0,0
24,16,0,0,21,24,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,179,284,11,59,59,1,8,0,.,0,0,0,0,0,0,0,5,2,0,0
25,30,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,512,209,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
26,32,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,551,209,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
27,29,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,591,209,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
28,31,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,632,209,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
29,3,0,0,22,28,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,119,329,11,59,59,1,11,0,.,0,0,0,0,0,0,0,5,2,0,0
30,1,0,0,23,29,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,239,329,11,59,59,1,9,0,.,0,0,0,0,0,0,0,5,2,0,0
31,2,0,0,24,30,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,359,329,11,59,59,1,10,0,.,0,0,0,0,0,0,0,5,2,0,0
32,4,0,0,25,31,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,479,329,11,59,59,1,12,0,.,0,0,0,0,0,0,0,5,2,0,0
joy y,45,2,2,80,80,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,330,510,5,59,29,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
joy x,46,2,2,81,81,0,0,127,127,1,2,11,11,0,0,0,0,0,0,0,0,315,540,4,89,59,1,2,0,.,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,106,350,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
36,42,2,2,102,24,0,0,127,127,1,2,11,11,0,0,0,0,0,0,0,0,120,480,10,59,59,1,32,0,.,0,0,0,0,0,0,0,11,1,0,0
37,44,0,0,57,57,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,29,450,11,59,59,1,0,0,.,0,0,0,0,0,0,0,5,2,0,0
page,43,2,2,9,9,127,127,0,0,1,1,17,17,0,0,0,0,0,0,0,0,29,525,8,59,59,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0,58,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,106,396,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
40,36,0,0,59,59,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,29,200,11,59,59,1,0,0,.,0,0,0,0,0,0,0,5,2,0,0
41,41,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,187,350,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
42,47,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,227,350,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
43,33,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,268,350,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
44,37,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,308,350,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
45,38,2,0,100,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,187,396,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
46,34,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,227,396,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
47,40,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,268,396,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
48,11,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,308,396,1,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
49,49,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,349,350,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
50,50,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,389,350,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
51,51,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,430,350,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
52,52,0,0,0,0,33,33,34,34,1,1,0,0,0,0,0,0,0,0,0,1,470,350,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
53,53,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,349,396,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,389,396,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,430,396,2,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
t2,56,2,2,58,58,14,14,70,70,1,2,24,24,0,0,0,0,0,0,0,0,74,389,11,25,26,1,0,0,.,0,0,0,0,0,0,0,1,6,1,0
t1,57,2,2,51,51,14,14,70,70,1,2,23,23,0,0,0,0,64,0,0,0,615,540,11,25,26,1,0,0,.,0,0,0,0,0,0,0,0,0,0,0
58,58,2,2,55,56,127,127,4,3,1,1,22,22,0,0,0,0,1,1,0,0,29,329,7,59,59,1,0,0,.,0,0,0,0,0,0,0,1,7,0,0
59,59,2,2,10,22,31,127,8,3,1,2,21,21,2,0,0,0,2,1,0,0,524,450,7,89,89,1,0,0,.,0,0,0,0,0,0,0,1,7,0,0
g,60,0,0,0,0,127,127,0,0,1,1,26,26,3,3,0,0,2,2,0,0,615,200,8,60,30,1,16,16,.,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1024,600,,,,,,,,,,,,,,,
