Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,hint_message
general,60,2,0,0,0,6,6,0,0,1,1,26,26,3,3,0,0,2,2,0,0,613,240,8,62,15,1,0,General settings for DART ONE circuit
43,41,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,309,404,1,25,26,1,32,.
54,49,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,349,357,2,25,26,1,32,.
56,50,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,390,357,2,25,26,1,32,.
52,51,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,430,357,2,25,26,1,32,.
50,52,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,471,357,2,25,26,1,32,.
55,53,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,349,404,2,25,26,1,32,.
49,54,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,390,404,2,25,26,1,32,.
53,55,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,430,404,2,25,26,1,32,.
58,47,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,632,357,1,25,26,1,32,.
51,56,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,471,404,2,25,26,1,32,.
62,57,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,512,357,1,25,26,1,32,.
64,58,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,552,357,1,25,26,1,32,.
60,59,0,0,0,0,127,127,0,0,1,1,0,0,0,0,0,0,0,0,0,1,592,357,1,25,26,1,32,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1024,600,,,
